MBM,1,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
MBM,2,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23084.99,32752.59,,,,,,,,,,,,
MBM,3,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20614.54,28659.03,,,,,,,,,,,,
MBM,4,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19173.16,26285.78,,,,,,,,,,,,
MBM,5,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19134.55,25713.72,,,,,,,,,,,,
MBM,6,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,17516.11,22929.42,,,,,,,,,,,,
MBM,7,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,15154.36,20966.43,,,,,,,,,,,,
BLLM,1,PLS649,BULUAN M'LANG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-43-55.951,124-49-30.549,20000,20000,,,,,,,,,,,,
BLLM,1,PLS712,BULUAN M'LANG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-41-36.120,124-40-33.992,20000,20000,,,,,,,,,,,,
BLLM,2,PLS649,BULUAN M'LANG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19982.92,19694.51,,,,,,,,,,,,
TRI.STA,,,BURN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-20-05.727,124-15-33.958,,,,,,,,,,,,,,
TRI.STA,,,CABALATA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-08-49.349,124-08-49.773,,,,,,,,,,,,,,
TRI.STA,,,CABUN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-57-39.696,124-19-21.774,,,,,,,,,,,,,,
TRI.STA,,,CADIZ,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-16-15.228,124-10-35.404,,,,,,,,,,,,,,
TRI.STA,,,CAGAYA MOSQUE,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-52-44.841,124-10-58.510,,,,,,,,,,,,,,
TRI.STA,,,CALANG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-06-14.636,124-17-14.961,,,,,,,,,,,,,,
TRI.STA,,,CALIPAYAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-11-01.538,122-57-16.094,,,,,,,,,,,,,,
TRI.STA,,,CANEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-38-34.469,123-27-57.335,,,,,,,,,,,,,,
BLLM,1,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-30-31.854,124-41-36.917,30000,30000,,,,,,,,,,,,
BLLM,1,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-18-13.639,124-48-02.119,30000,30000,,,,,,,,,,,,
BLLM,1,PLS-695,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-14-45.894,124-41-09.202,20000,20000,,,,,,,,,,,,
BLLM,1,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-30-04.767,124-46-55.201,20000,20000,,,,,,,,,,,,
BLLM,2,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,30455.15,29591.83,,,,,,,,,,,,
BLLM,2,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,29840.65,30013.5,,,,,,,,,,,,
BLLM,2,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19728.04,20059.56,,,,,,,,,,,,
BLLM,3,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,39099.64,32249.69,,,,,,,,,,,,
BLLM,3,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20908.55,24555.65,,,,,,,,,,,,
BLLM,3,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,16298.26,16653.53,,,,,,,,,,,,
BLLM,4,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,38113.96,32332.64,,,,,,,,,,,,
BLLM,4,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20968.93,24437.64,,,,,,,,,,,,
BLLM,4,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,16287.74,16302.39,,,,,,,,,,,,
BLLM,5,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26463.7,26848.09,,,,,,,,,,,,
BLLM,5,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26278.58,25505.33,,,,,,,,,,,,
BLLM,5,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20533.68,14109.08,,,,,,,,,,,,
BLLM,6,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,25690.92,25764.85,,,,,,,,,,,,
BLLM,6,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26399.04,25495.77,,,,,,,,,,,,
BLLM,6,PLS-808-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20430.7,13773.02,,,,,,,,,,,,
BLLM,7,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,7,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32050.5,24583.98,,,,,,,,,,,,
BLLM,8,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,8,PLS-673,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,31954.41,24734.14,,,,,,,,,,,,
BLLM,9,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20749.55,26116.78,,,,,,,,,,,,
BLLM,10,PLS-636-D,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20749.55,26658.22,,,,,,,,,,,,
,2,PLS-695,CARMEN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20042.71,20282.68,,,,,,,,,,,,
TRI.STA,,,COCO,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-26-31.127,123-00-43.266,,,,,,,,,,,,,,
TRI.STA,,,COGON,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-44-17.449,123-28-11.196,,,,,,,,,,,,,,
TRI.STA,,,CONSTABULARY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-13-17.132,124-14-33.406,,,,,,,,,,,,,,
TRI.STA,,,CORNADO,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-57-43.521,122-16-30.104,,,,,,,,,,,,,,
TRI.STA,,,COTABATO NORTH WEST BASE,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-15-40.300,124-14-34.512,,,,,,,,,,,,,,
TRI.STA,,,COTABATO SOUTH EASTERN BAS,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-13-59.387,124-16-07.086,,,,,,,,,,,,,,
TRI.STA,,,CRATER,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-59-49.991,124-18-01.556,,,,,,,,,,,,,,
DADO,1,,DADO ALAMADA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-30-40.0567,124-31-07.8467,,,830520.1041,446896.2036,,,ESTABLISHED BY FNSP-K,,,,,,,
DADO,2,,DADO ALAMADA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-30-42.664,124-31-06.7905,,,830600.3046,446863.9092,,,ESTABLISHED BY FNSP-K,,,,,,,
TRI.STA,,,DANSALAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-02-03.655,122-34-25.528,,,,,,,,,,,,,,
TRI.STA,,,DAPAO,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-47-03.730,124-04-46.812,,,,,,,136,,,,,,,
TRI.STA,,,DAUIGAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-17-28.634,122--57-23.044,,,,,,,,,,,,,,
TRI.STA,,,DIKUL,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-57-17.374,122-13-14.660,,,,,,,,,,,,,,
TRI.STA,,,DISACAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-28-44.038,123-04-56.479,,,,,,,,,,,,,,
ARK,1,,DOROLOMAN ARAKAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-20-20.5786,125-03-45.9310,,,811463.0637,506929.1362,,,ESTABLISHED BY FNSP-K,,,,,,,
ARK,2,,DOROLOMAN ARAKAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-20-18.1345,125-05-26.6346,,,811388.5185,510017.6582,,,ESTABLISHED BY FNSP-K,,,,,,,
TRI.STA,,,DUGOLOAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-47-57.585,123-41-26.292,,,,,,,,,,,,,,
CTN,3019,,DUNGUAN MIDSAYAP,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-56-8.67,124-49-43.07,,,766868.5598,481062.7149,,,,,,,,,,
