,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BLBM,2,LANAO,BANGUI,ILOCOS NORTE,REGION I,,,18699.48,23197.31,2049121.286,478324.907,,,
BLBM,1,LUSONG,BANGUI,ILOCOS NORTE,REGION I,,,23889.26,24675.57,2054308.903,479809.884,,,
BLBM,2,LUSONG,BANGUI,ILOCOS NORTE,REGION I,,,23939.95,24627.47,2054359.653,479761.852,,,
TRI. STA.,,MADAMBA 1903 USC & GS,BANGUI,ILOCOS NORTE,REGION I,18-35-57.756,120-58-46.484,26687.5,42715.6,2057083.409,497852.676,,,VERIFY BEFORE USING / SEE VERIFIED PROJECT SHEET
TRI. STA.,,MANUNG,BANGUI,ILOCOS NORTE,REGION I,18-38-23.86,120-51-29.38,,,,,,,"TO STATIONS = BABATQUEN, MADAMBA, E. BASE"
TRI. STA.,,"MANUNG 1903, 1915, C. & G.S.",BANGUI,ILOCOS NORTE,REGION I,18-38-21.635,120-51-41.848,,,,,,,VERIFY BEFORE USING / SEE VERIFIED PROJECT SHEET
TRI. STA.,,NEGRA,BANGUI,ILOCOS NORTE,REGION I,,,21031.17,6357.47,2051474.892,461488.78,,,
BLBM,1,PAGUDPUD,BANGUI,ILOCOS NORTE,REGION I,,,22074.69,21959.96,2052497.965,477092.024,,,
BLBM,2,PAGUDPUD,BANGUI,ILOCOS NORTE,REGION I,,,22143.87,21840.21,2052567.299,476972.37,,,
TRI. STA.,,PALMA BRAVA,BANGUI,ILOCOS NORTE,REGION I,18-37-30.72,120-50-57.59,,,,,,,"TO STATIONS = BABATQUEN, PERDIDO, MADAMBA, MANUNG"
TRI. STA.,,PERDIDO,BANGUI,ILOCOS NORTE,REGION I,18-37-50.46,120-50-10.4,,,,,,,"TO STATIONS = BANTAI, DAILAO, NAGAPARTIAN"
BLLM,1,,BANGUI,ILOCOS NORTE,REGION I,18-32-20.24,120-45-51.94,20000,20000,2050425.928,475129.438,,,
BLLM,2,,BANGUI,ILOCOS NORTE,REGION I,,,19898.69,19987.77,2050324.638,475117.076,,,
TRI. STA.,,C. & G.. MANUNG,BANGUI  (LUZON DATUM),ILOCOS NORTE,REGION I,18-38-19.139,120-51-41.216,,,,,,,"TO STATIONS = ULABAT, NAGPANGA, CADUNGDUNGAN"
TRI. STA.,,MANUNG,BANGUI  (LUZON DATUM),ILOCOS NORTE,REGION I,18-38-21.635,120-51-41.848,,,,,,,"TO STATIONS = MADAMBA, PALMA BRAVA, BABATGUEN"
BLBM,1,AMBAGSANG,BANNA,ILOCOS NORTE,REGION I,,,15947.98,21394.44,1984789.941,465086.072,,,
