,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
MBM,15,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986202.02,468139.91,,,
MBM,16,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986143.55,468038.67,,,
MBM,17,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986180.47,467939.74,,,
MBM,18,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985505.01,466988.99,,,
MBM,19,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985411.74,466816.48,,,
MBM,20,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985295.63,466826.36,,,
MBM,21,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985321.05,466780.11,,,
MBM,22,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985199.95,466727.26,,,
MBM,23,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985483.5,466383.59,,,
MBM,24,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984929.09,466003.57,,,
MBM,25,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984564.29,465733.55,,,
MBM,26,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984083.65,465342,,,
MBM,27,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983795.88,465353.81,,,
MBM,28,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982552.71,464210.67,,,
MBM,29,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982198.23,463976.71,,,
MBM,30,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1981450.3,463845.19,,,
MBM,31,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1980931.42,463450.04,,,
MBM,32,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1980799.4,463264.75,,,
MBM,33,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1981451.66,461740.25,,,
MBM,34,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1981602.11,461528.1,,,
MBM,35,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1981499.99,461450.25,,,
MBM,36,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1981577.81,461242.17,,,
MBM,37,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982201.26,460508.58,,,
MBM,38,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982685.86,460252.29,,,
MBM,39,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983377.24,459623.91,,,
MBM,40,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984087.81,458423.63,,,
MBM,41,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983869.49,456838.96,,,
MBM,42,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985302.66,456261.69,,,
MBM,43,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987590.38,458006.99,,,
MBM,44,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989798.74,459342.66,,,
BLBM,1,,GAANG,ILOCOS NORTE,REGION I,,,14125.71,19421.99,,,,,
BLBM,2,,GAANG,ILOCOS NORTE,REGION I,,,14169.4,19346.37,,,,,
BLBM,1,,GABON,ILOCOS NORTE,REGION I,,,18603.46,15873.8,,,,,
BLBM,2,,GABON,ILOCOS NORTE,REGION I,,,18611.38,15802.24,,,,,
BLBM,1,,GABU,ILOCOS NORTE,REGION I,,,19067.89,13052.08,,,,,
BLBM,2,,GABU,ILOCOS NORTE,REGION I,,,19234.52,13090.29,,,,,
BLBM,1,,GUID-GUID,ILOCOS NORTE,REGION I,,,17120.45,20272.13,,,,,
BLBM,2,,GUID-GUID,ILOCOS NORTE,REGION I,,,17115.01,20218.21,,,,,
BLBM,1,,LANAO,ILOCOS NORTE,REGION I,,,18731.79,23260.4,,,,,
BLBM,1,,LANAO,ILOCOS NORTE,REGION I,,,15036.36,22416.36,,,,,
BLBM,2,,LANAO,ILOCOS NORTE,REGION I,,,18699.48,23197.31,,,,,
BLBM,2,,LANAO,ILOCOS NORTE,REGION I,,,15083.86,22388.5,,,,,
BLBM,1,APAYA,LAOAG,ILOCOS NORTE,REGION I,,,17546.71,14646.39,2010172.803,451379.045,,,
BLBM,2,APAYA,LAOAG,ILOCOS NORTE,REGION I,,,17480.6,14619.02,2010106.756,451351.528,,,
BLBM,1,BACSIL,LAOAG,ILOCOS NORTE,REGION I,,,20435.37,26698.02,2013034.521,463436.753,,,
BLBM,2,BACSIL,LAOAG,ILOCOS NORTE,REGION I,,,20388.84,26781.56,2012987.806,463520.186,,,
BLBM,1,BALACAD,LAOAG,ILOCOS NORTE,REGION I,,,14892.41,15218.53,2007517.299,451945.255,,,
BLBM,2,BALACAD,LAOAG,ILOCOS NORTE,REGION I,,,14850.78,15212.99,2007475.683,451939.622,,,
BLBM,1,BUYUYUGAN,LAOAG,ILOCOS NORTE,REGION I,,,24545.81,17887.62,2017164.485,454635.794,,,
BLBM,2,BUYUYUGAN,LAOAG,ILOCOS NORTE,REGION I,,,24438.26,17849.54,2017057.023,454597.475,,,
BBM,1,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16555.96,13152.77,2009185.405,449883.25,,,
BBM,2,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16556.47,14314.48,2009183.328,451044.935,,,
BBM,3,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16286.97,15698.93,2008907.752,452428.745,,,
BBM,4,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17965.29,16444.63,2010587.366,453178.174,,,
BBM,5,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18889.87,17249.27,2011510.127,453984.854,,,
BBM,6,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18792.7,14312.87,2011419.503,451048.31,,,
BBM,7,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19199.29,13260.62,2011828.427,449996.99,,,
BBM,8,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19282.7,13270.47,2011911.813,450007.026,,,
BBM,9,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17034.55,18105.64,2009652.951,454837.066,,,
BBM,10,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18999.69,17534.46,2011619.309,454270.281,,,
BBM,11,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19860.07,17877.97,2012478.899,454615.7,,,
BBM,12,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20547.92,18375.87,2013165.65,455115.12,,,
BBM,13,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22260.95,18949.82,2014877.321,455692.872,,,
BBM,14,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21935.77,19877.22,2014550.082,456619.52,,,
BBM,15,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23385.79,17710.83,2016001.892,454456.423,,,
BBM,16,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22978.44,17535.96,2015597.944,454280.65,,,
BBM,17,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23552.49,16075.42,2015975.242,452820.981,,,
BBM,18,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23827.34,18019.53,2016445.741,454766.099,,,
BBM,19,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23656.95,18337.9,2016274.646,455084.081,,,
BBM,20,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17187.94,14313.98,2009814.783,451045.843,,,
BBM,21,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17691.6,14313.06,2010318.432,451046.046,,,
BBM,22,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19157.29,24604.53,2011761.148,461340.487,,,
BBM,23,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19346.9,23839.71,2011952.457,460576.116,,,
BBM,24,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18219.11,21856.24,2010829.122,458590.196,,,
BBM,25,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18508.93,22710.83,2011117.029,459445.405,,,
BBM,26,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19241.97,22565.53,2011850.37,459301.744,,,
BBM,27,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20767.76,22636.24,2013375.955,459375.852,,,
BBM,28,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20967.93,22644.55,2013576.101,459384.608,,,
BBM,29,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21226.69,21900.55,2013836.511,458641.209,,,
BBM,30,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21548.28,20991.13,2014160.12,457732.533,,,
BBM,31,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21576.07,18710.85,2014192.993,455452.382,,,
BBM,32,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21396.6,18677.17,2014013.604,455418.303,,,
BBM,33,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18634.46,22143.98,2011243.818,450878.853,,,
BBM,34,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23255.07,16831.03,2015876.139,453576.355,,,
BBM,35,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23827.26,17992.19,2016445.722,454738.76,,,
BBM,36,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18005.53,14312.65,2010632.654,451046.335,,,
BBM,37,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18234.12,14313.3,2010860.937,451047.495,,,
BBM,38,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19078.25,15124.56,2011703.237,451860.617,,,
BBM,39,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18270.98,16748.26,2010892.371,453482.478,,,
BBM,40,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17562.44,16323.17,2010184.797,453055.819,,,
BBM,41,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16325.78,15495.87,2008950.013,452225.783,,,
BBM,42,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23768.73,18169.88,2016386.797,454916.314,,,
BBM,43,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24046.37,19384.64,2016661.719,456131.659,,,
BBM,44,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24117.63,19806.32,2016732.036,456553.486,,,
BBM,45,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19401.32,4770.1,2012049.375,441507.06,,,
BBM,46,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19832.68,25059.3,2012435.503,461796.747,,,
BLLM,1,CAD 195,LAOAG,ILOCOS NORTE,REGION I,18-11-49.25,120-35-27.72,20000,20000,2012614.095,456737.982,,,
BLLM,2,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19943.6,20116.28,2012557.437,456854.133,,,
BLLM,3,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22154.61,14685.42,2014780.494,451428.345,,,
BLLM,4,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21932.44,15292.01,2014556.977,452034.425,,,
BLLM,5,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,6,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,7,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17547.27,14643.83,2010173.369,451376.486,,,
BLLM,8,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,9,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,10,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,14851.53,15209.28,2007476.441,451935.914,,,
BLLM,11,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,12,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18949.91,13241.06,2011579.097,449976.074,,,
BLLM,13,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,14,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24422.34,17887.42,2017041.019,454635.319,,,
BLLM,15,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,16,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO RECORD
BLLM,18,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19899.75,21260.98,2012511.037,457998.701,,,
BLLM,19,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20393.29,26781.2,2012992.257,463519.836,,,
BLLM,20,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20439.7,26697.62,2013038.852,463436.362,,,
BLLM,21,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16140.99,16356.4,2008763.312,453085.88,,,
BLLM,22,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16295.16,16443.86,2008917.283,453173.681,,,
BLLM,23,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18147.98,18167.23,2010766.213,454901.136,,,
BLLM,24,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18217.3,18017.25,2010835.865,454751.314,,,
BLLM,25,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20157.41,16396.15,2012779.534,453134.582,,,
BLLM,26,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20226.4,16237.75,2012848.875,452976.339,,,
BLLM,27,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26673.47,18934.87,2019289.747,455687.758,,,
BLLM,28,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26805.35,18774.13,2019421.982,455527.316,,,
BLLM,29,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22365.6,17162.07,2014985.955,453905.404,,,
BLLM,30,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22254.22,17346.16,2014874.167,454089.241,,,
BLLM,31,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26178.2,17338.92,2018798.054,454090.747,,,
BLLM,32,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26000.36,17576.47,2018619.689,454327.895,,,
BLLM,33,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23173.55,19953.8,2015787.655,456698.857,,,
BLLM,34,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23316.43,20120.57,2015930.159,456865.941,,,
BLLM,35,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22725.65,21393.25,2015336.557,458137.265,,,
BLLM,36,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22566.8,21338.6,2015177.834,458082.263,,,
BLLM,37,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21673.09,22947.13,2014280.564,459688.75,,,
BLLM,38,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21756.84,22771.27,2014364.704,459513.083,,,
BLLM,39,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21104.4,23619.09,2013710.394,460359.421,,,
BLLM,40,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21172.89,23511.57,2013779.121,460252.057,,,
BLLM,41,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20408.45,24457.78,2013012.596,461196.531,,,
BLLM,42,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20213.37,24470.31,2012817.494,461208.626,,,
BLLM,43,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19104.91,27114.44,2011703.177,463850.192,,,
BLLM,44,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19273.12,27206.9,2011871.175,463943.024,,,
BLLM,45,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17963.04,23248.6,2010569.957,459981.941,,,
BLLM,46,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17834.65,23453.32,2010441.115,460186.368,,,
BLLM,47,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20962.56,20685.21,2013575.099,457425.317,,,
BLLM,48,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21192,20830.64,2013804.208,457571.254,,,
BLLM,49,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20050.24,21301.32,2012661.433,458039.375,,,
BLLM,17 ?,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19874.86,21253.29,2012486.165,457990.955,,,
MBM,1,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,13294.31,14271.78,2005921.349,450994.965,,,
MBM,2,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,13087.08,13955.2,2005714.828,450677.93,,,
MBM,3,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,13370.56,13395.63,2005999.546,450119.005,,,
MBM,4,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,13714.34,12621.98,2006092.22,562840.508,,,
MBM,5,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26637.87,19004.19,2019253.993,455756.996,,,
MBM,6,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,26178.14,19004.17,2018794.277,455755.952,,,
MBM,7,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,25945.76,19207.55,2018561.449,455958.808,,,
MBM,8,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,25894.51,19207.99,2018510.2,455959.134,,,
MBM,9,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,25439.06,19210.85,2018054.757,455960.978,,,
MBM,10,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24543.23,19479.7,2017158.353,456227.824,,,
MBM,11,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24218.36,19843.24,2016832.681,456590.629,,,
MBM,12,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,24171.71,20348.76,2016784.904,457096.03,,,
MBM,13,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23963.9,21178.73,2016575.249,457925.512,,,
MBM,14,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23639.56,21712.33,2016249.728,458458.373,,,
MBM,15,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23628.96,21750.05,2016239.044,458496.068,,,
MBM,16,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,23271.28,23003.06,2015878.58,459748.241,,,
MBM,17,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,22561.86,23774.98,2015167.46,460518.554,,,
MBM,18,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21885.96,24510.06,2014489.942,461252.103,,,
MBM,19,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21829.66,24571.26,2014433.508,461313.175,,,
MBM,20,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21858.49,25456.21,2014460.363,462198.159,,,
MBM,21,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21890.57,26445.38,2014490.237,463187.365,,,
MBM,22,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,21064.44,29027.21,2013658.378,465767.258,,,
MBM,23,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,20288.34,29102.2,2012882.137,465840.516,,,
MBM,24,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,19321.76,28933.09,2011915.966,465669.258,,,
MBM,25,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18061.57,25370.3,2010663.757,462103.789,,,
MBM,26,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17408.55,24228.38,2010013.302,460960.452,,,
MBM,27,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16041.9,23969.81,2008647.271,460698.845,,,
MBM,28,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17203.77,21910.21,2009813.692,458641.901,,,
MBM,29,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18506.01,19741.89,2011120.724,456476.549,,,
MBM,30,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18227.54,19338.38,2010843.161,456072.43,,,
MBM,31,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18075.95,19095.33,2010692.117,455829.049,,,
MBM,32,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17824.03,18795.04,2010440.873,455528.206,,,
MBM,33,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,17183.53,18235.61,2009801.638,454967.364,,,
MBM,34,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16985.67,18062.93,2009604.168,454794.248,,,
MBM,35,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16805.69,18069.41,2009424.179,454800.327,,,
MBM,36,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,15232.68,16889.89,2007853.839,453617.332,,,
MBM,37,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,14529.76,16239.29,2007152.387,452965.182,,,
MBM,38,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,14044.95,15889.32,2006668.369,452614.14,,,
MBM,39,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,40,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,A,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,14933.61,16295.97,2007556.1,453022.76,,,OLD BRICK MONUMENT
MBM,B,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,15334.7,16640.12,2007956.412,453367.796,,,OLD BRICK MONUMENT
MBM,C,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,15778.42,17022.72,2008399.268,453751.375,,,OLD BRICK MONUMENT
MBM,D,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,16239.82,17438.57,2008859.618,454218.241,,,OLD BRICK MONUMENT
MBM,E,CAD 195,LAOAG,ILOCOS NORTE,REGION I,,,18629.34,20226.15,2011242.971,456961.07,,,OLD BRICK MONUMENT
BLBM,1,CALAYAB,LAOAG,ILOCOS NORTE,REGION I,,,15613.99,13391.01,2008242.929,450119.385,,,
BLBM,2,CALAYAB,LAOAG,ILOCOS NORTE,REGION I,,,15634.98,13326.78,2008264.061,450055.204,,,
TRI. STA.,,CAUIT,LAOAG,ILOCOS NORTE,REGION I,,,21429.65,14736.43,2014055.44,451477.738,,,
BDRY. MON.,,LAOAG-VINTAR,LAOAG,ILOCOS NORTE,REGION I,,,21876.54,24504.45,2014480.535,461246.472,,,
BLBM,1,OABU,LAOAG,ILOCOS NORTE,REGION I,,,19067.89,13052.08,2011697.496,449788.161,,,
BLBM,2,OABU,LAOAG,ILOCOS NORTE,REGION I,,,19234.52,13090.29,2011864.036,449826.742,,,
TRI. STA.,,RUIN OF FORT,LAOAG,ILOCOS NORTE,REGION I,18-12-34.3,120-31-31.86,,,,,,,"TO STATIONS = CAUIT, SAN MIGUEL, BLOCK"
BLBM,1,STA. CAYETANA,LAOAG,ILOCOS NORTE,REGION I,,,19874.87,21253.57,2012486.175,457991.235,,,
BLBM,2,STA. CAYETANA,LAOAG,ILOCOS NORTE,REGION I,,,19899.84,21261.31,2012511.127,457999.031,,,
BLBM,1,ZAMBOANGA,LAOAG,ILOCOS NORTE,REGION I,,,19191.32,15878.22,2011814.624,452614.511,,,
BLBM,2,ZAMBOANGA,LAOAG,ILOCOS NORTE,REGION I,,,19211.5,15804.98,2011834.967,452541.318,,,
BLBM,1,,LAOAG,ILOCOS NORTE,REGION I,18-11-49.25,120-35-27.72,20000,20000,,,,,
BLBM,2,,LAOAG,ILOCOS NORTE,REGION I,,,19943.62,20116.2,,,,,
BLLM,1,,LAOAG,ILOCOS NORTE,REGION I,18-11-49.25,120-35-27.72,20000,20000,2012614.095,456737.982,,,FOR NEW DATA SEE CAD # 195
BLLM,2,,LAOAG,ILOCOS NORTE,REGION I,,,19943.62,20116.2,2012557.458,456854.053,,,
TRI. STA.,,CAUIT,LAOAG (LUZON DATUM),ILOCOS NORTE,REGION I,18-12-35.748,120-32-28.748,,,,,,,"TO STATIONS = S. MIGUEL, CULILI, BATAC"
TRI. STA.,,LAOAG CH. B.T.,LAOAG (LUZON DATUM),ILOCOS NORTE,REGION I,18-11-48.218,120-35-31.750,,,,,,,"TO STATIONS = PASUGUIN, S. MIGUEL, CAUIT"
BDRY. MON.,,,LAOAG-VINTAR,ILOCOS NORTE,REGION I,,,21876.54,24504.45,,,,,
BLBM,1,,LIBANAOAN,ILOCOS NORTE,REGION I,,,21854.43,20314.53,,,,,
BLBM,2,,LIBANAOAN,ILOCOS NORTE,REGION I,,,21856.96,20264.02,,,,,
BLBM,1,,LIGSAY,ILOCOS NORTE,REGION I,,,18591,21043.25,,,,,
BLBM,2,,LIGSAY,ILOCOS NORTE,REGION I,,,18562.29,21084.53,,,,,
BLBM,1,,LINGSAT,ILOCOS NORTE,REGION I,,,24310.56,19822.89,,,,,
BLBM,2,,LINGSAT,ILOCOS NORTE,REGION I,,,24460.43,20034.69,,,,,
BLBM,1,,LUSONG,ILOCOS NORTE,REGION I,,,23889.26,24675.57,,,,,
BLBM,2,,LUSONG,ILOCOS NORTE,REGION I,,,23939.95,24627.47,,,,,
BLBM,1,,MA-AB-ABUEAY,ILOCOS NORTE,REGION I,,,19278.84,24668.89,,,,,
BLBM,2,,MA-AB-ABUEAY,ILOCOS NORTE,REGION I,,,19311.57,24691.71,,,,,
BLBM,1,,MAGBACALAN,ILOCOS NORTE,REGION I,,,23982.6,23213.09,,,,,
BLBM,2,,MAGBACALAN,ILOCOS NORTE,REGION I,,,23968.38,23269.15,,,,,
BLBM,1,,MAGNUANG,ILOCOS NORTE,REGION I,,,15502.95,17201.95,,,,,
BLBM,2,,MAGNUANG,ILOCOS NORTE,REGION I,,,15577,17219.2,,,,,
BLBM,1,,MAGPATAYAN,ILOCOS NORTE,REGION I,,,10764.58,29107.75,,,,,
BLBM,2,,MAGPATAYAN,ILOCOS NORTE,REGION I,,,10700.51,29216.29,,,,,
BLBM,1,,MAGSAPAPUNAN,ILOCOS NORTE,REGION I,,,20454.08,27480.75,,,,,
BLBM,2,,MAGSAPAPUNAN,ILOCOS NORTE,REGION I,,,20505.79,27225.08,,,,,
BLBM,1,,MALASIN,ILOCOS NORTE,REGION I,,,22365.42,22758.43,,,,,
BLBM,2,,MALASIN,ILOCOS NORTE,REGION I,,,22474.87,22787.72,,,,,
BLBM,1,,MANALPAC,ILOCOS NORTE,REGION I,,,19695.08,22366.95,,,,,
BLBM,2,,MANALPAC,ILOCOS NORTE,REGION I,,,19723.83,22267.52,,,,,
BLBM,1,,NAGBACALAN,ILOCOS NORTE,REGION I,,,25891.51,20141.73,,,,,
BLBM,2,,NAGBACALAN,ILOCOS NORTE,REGION I,,,25833.5,20119.13,,,,,
BLBM,1,,NAGPAPALCAN,ILOCOS NORTE,REGION I,,,16088.11,27176.98,,,,,SITIO STA. MARIA
BLBM,2,,NAGPAPALCAN,ILOCOS NORTE,REGION I,,,16101.53,27074.79,,,,,SITIO STA. MARIA
BLBM,1,,NAGREBCAN 5,ILOCOS NORTE,REGION I,,,17833.59,26164.9,,,,,
BLBM,2,,NAGREBCAN 5,ILOCOS NORTE,REGION I,,,17958.39,26046.54,,,,,
BLLM,1,CAD 712-D,NUEVA ERA,ILOCOS NORTE,REGION I,17-55-13.076,120-39-04.325,,,1981974.477,464163.437,,,
BLLM,2,CAD 712-D,NUEVA ERA,ILOCOS NORTE,REGION I,,,,,1981850.131,464141.082,,,
