MBM,17,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1824692.79,558663.62,,,
MBM,18,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1823813.71,558106.77,,,
MBM,19,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821882.81,557885.9,,,
MBM,20,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1818067.31,555398.55,,,
MBM,21,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821544.12,548777,,,
MBM,22,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827227.93,556485.72,,,
MBM,23,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1830448.57,554212.85,,,
P,1,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827659.859,555010.281,,,
P,2,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827845.54,555055.942,,,
P,3,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1828306.268,554974.092,,,
P,4,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829058.776,555087.381,,,
P,5,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829347.183,555133.126,,,
P,6,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829904.388,555223.161,,,
P,7,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1830159.899,555265.196,,,
P,8,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829704.31,555388.94,,,
P,9,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829247.487,555470.662,,,
P,10,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1828997.712,555746.728,,,
P,11,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1828837.069,556115.753,,,
P,12,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1828662.143,556383.876,,,
P,13,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827911.384,556764.948,,,
P,14,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827792.672,557254.158,,,
P,15,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827364.609,558528.012,,,
P,16,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827065.932,559317.017,,,
P,17,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826612.445,559757.427,,,
P,18,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826087.764,560218.54,,,
P,19,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825627.453,560167.27,,,
P,20,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825284.283,560075.879,,,
P,21,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1823760.556,559789.968,,,
P,22,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1823325.111,559867.717,,,
P,23,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1822869.651,559891.248,,,
P,24,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1822639.123,559716.146,,,
P,25,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821964.058,559559.36,,,
P,26,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821740.191,559624.264,,,
P,27,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821801.734,559013.742,,,
P,28,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821223.942,558977.263,,,
P,29,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820576.244,558766.13,,,
P,30,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820546.969,558877.273,,,
P,31,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820406.615,558953.099,,,
P,32,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819465.028,558864.223,,,
P,33,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819136.071,558896.338,,,
P,34,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1818622.205,558183.982,,,
P,35,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1818561.82,557912.36,,,
P,36,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817678.917,557330.032,,,
P,37,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817595.828,557119.077,,,
P,38,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817534.76,556633.714,,,
P,39,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817597.354,555720.414,,,
P,40,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817238.417,555635.445,,,
P,41,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816728.919,555370.027,,,
P,42,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816279.962,554368.099,,,
P,43,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816055.927,553728.427,,,
P,44,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1815870.914,553376.155,,,
P,45,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816032.318,552808.105,,,
P,46,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816063.273,552293.028,,,
P,47,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816394.953,552254.073,,,
P,48,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816351.453,552057.32,,,
P,49,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816705.674,551914.819,,,
P,50,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816940.246,551905.737,,,
P,51,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817084.184,551567.936,,,
P,52,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817207.241,551462.692,,,
P,53,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817537.801,551550.992,,,
P,54,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817490.559,551345.909,,,
P,55,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817468.339,550974.792,,,
P,56,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817809.575,550808.603,,,
P,57,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817919.178,550665.497,,,
P,58,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1824974.11,551434.786,,,
P,59,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825193.628,551713.453,,,
P,60,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825434.874,551942.442,,,
P,61,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825616.823,552079.043,,,
P,62,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825741.502,552132.364,,,
P,63,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826126.6,552589.38,,,
P,64,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826424.957,552816.196,,,
P,65,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826841.337,553111.937,,,
P,66,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827085.933,553204,,,
P,67,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827577.792,553889.847,,,
P,68,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827580.162,554184.402,,,
P,69,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827532.659,554365.774,,,
P,70,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827312.653,555016.629,,,
P,71,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,72,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,73,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,74,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,75,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,76,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,77,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,78,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,79,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,80,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,81,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,82,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,83,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,84,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,85,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,86,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,87,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,88,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,89,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,90,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,91,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,92,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,93,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,94,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,95,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,96,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,97,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,98,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,99,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,100,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,,,,,
P,101,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1815966.079,555486.414,,,
P,102,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1815423.97,555764.1,,,
P,103,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1815052.647,555977.517,,,
P,104,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1814488.55,555902.799,,,
P,105,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1814050.348,555761.718,,,
P,106,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1813453.877,555924.52,,,
P,107,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812981.677,555876.841,,,
P,108,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812398.399,555768.513,,,
P,109,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1811788.397,555512.775,,,
P,110,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1811662.719,555312.524,,,
P,111,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812034.911,555289.82,,,
P,112,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812457.737,555235.981,,,
P,113,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812755.234,555297.392,,,
P,114,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812981.382,555404.774,,,
P,115,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1813125.463,555249.773,,,
P,116,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1813420.393,555139.471,,,
P,117,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1813874.296,555137.418,,,
P,118,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1814113.361,555211.799,,,
P,119,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1814311.135,555478.792,,,
P,120,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1814793.787,555322.735,,,
P,121,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1815361.246,555044.578,,,
P,122,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1816064.13,554780.541,,,
P,123,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1818236.802,550467.69,,,
P,124,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1818703.49,550486.459,,,
P,125,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819140.311,550375.4,,,
P,126,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819553.9,550216.185,,,
P,127,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820007.486,549927.832,,,
P,128,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820583.194,549676.331,,,
P,129,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820986.136,549588.66,,,
P,130,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821642.183,549471.858,,,
P,131,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1821953.118,549592.101,,,
