TRI. STA.,,CUT,AGDANGAN,QUEZON,REGION IV-A,13-52-46.100,121-52-54.860,,,,,,,"TO STATIONS = ANT, HILL"
P,42,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565874.947,608777.256,,,
P,43,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565957.998,608769.664,,,
P,44,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1566259.9,609179.895,,,
P,45,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1566347.299,609430.202,,,
P,46,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565163.373,610889.257,,,
P,47,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565023.859,611216.006,,,
P,48,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564898.953,611410.203,,,
P,49,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564503.592,612005.078,,,
P,50,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564192.094,612479.646,,,
P,51,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564062.55,612480.882,,,
P,52,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564040.069,612574.01,,,
P,53,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564013.049,612670.892,,,
P,54,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563622.347,612885.98,,,
P,55,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563345.262,613189.275,,,
P,56,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563274.864,613380.143,,,
P,57,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563221.393,613528.094,,,
P,58,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563251.637,613720.987,,,
P,59,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563183.991,613844.543,,,
P,60,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563140.672,613924.202,,,
P,61,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562276.639,613934.144,,,
P,62,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561310.465,614460.222,,,
P,63,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560112.399,614563.954,,,
P,64,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560119.228,614773.689,,,
P,65,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559905.158,615104.682,,,
P,66,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559691.67,615355.129,,,
P,67,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559641.021,615441.801,,,
P,68,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559322.604,615669.801,,,
P,69,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557972.332,616489.397,,,
P,70,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557295.84,616510.402,,,
P,71,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557080.079,616445.687,,,
P,72,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556984.242,616402.127,,,
