Tria. STA.(29th Engrs.) ,Ambolon L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-12-35.271,121-00-30.883,,,,,,,
Tria. STA.(29th Engrs.) ,Baniaga,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-10-02.772,121-02-08.175,,,,,,,
Tria. STA.(29th Engrs.) ,Pao,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-09-47.830,121-07-57.836,,,,,,,
Tria. STA.(29th Engrs.) ,Carmen,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-14-32.459,121-07-41.666,,,,,,,
Tria. STA.(29th Engrs.) ,Alibug II,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-13-41.118,121-13-16.416,,,,,,,
Tria. STA.(29th Engrs.) ,Alibatan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-12-50.833,121-16-50.826,,,,,,,
Tria. STA.(29th Engrs.) ,Masin,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-15-22.157,121-23-04.667,,,,,,,
Tria. STA.(29th Engrs.) ,Libagao,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-12-08.513,121-25-56.516,,,,,,,
Tria. STA.(29th Engrs.) ,Semirara,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-05-39.515,121-22-40.987,,,,,,,
Tria. STA.(29th Engrs.) ,Panagatan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,11-51-58.722,121-17-07.276,,,,,,,
Tria. STA.(29th Engrs.) ,Talisay,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,11-59-05.569,121-23-16.112,,,,,,,
Tria. STA.(29th Engrs.) ,Sibay RM,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,11-51-59.700,121-28-05.763,,,,,,,
Tria. STA.(29th Engrs.) ,Horn,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,11-54-44.966,121-32-56.046,,,,,,,
BLLM ,1,PLS 22,STA CRUZ,OCCIDENTAL MINDORO,REGION IV-B,13-04-35.959,120-43-11.559,30000.00,30000.00,,,,,
BLLM ,1,PLS 25,ABRA DE ILOG ,OCCIDENTAL MINDORO,REGION IV-B,13-26-45.380,120-43-38.183,20000.00,20000.00,,,,,
BLLM ,1,PLS 26,PALUAN,OCCIDENTAL MINDORO,REGION IV-B,13-24-35.237,120-27-53.515,20000.00,20000.00,,,,,
BLLM ,1,PLS 41,LUBANG,OCCIDENTAL MINDORO,REGION IV-B,13-51-35,120-07-32.6,30000.00,30000.00,,,,,
BLLM ,1,PLS 47,BONGABON,OCCIDENTAL MINDORO,REGION IV-B,12-44-48.24,121-29-12.05,20000.00,20000.00,,,,,
BLLM ,1,PLS 138,BONGABON,OCCIDENTAL MINDORO,REGION IV-B,12-50-56.20,121-25-10.38,20000.00,20000.00,,,,,
BLLM ,1,PLS 164,SABLAYAN,OCCIDENTAL MINDORO,REGION IV-B,12-50-07.89,120-46-01.69,40000.00,40000.00,,,,,
